2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"8]       CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"9]       CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"23]      CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"25]      CDBFS::init 	FL:DBFS.cpp(21)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFSShare::_initDBEnv 	FL:DBFSShare.cpp(19)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFSShare::_createTables 	FL:DBFSShare.cpp(54)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"2]       CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"3]       CDBFSShare::_createTables 	FL:DBFSShare.cpp(54)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFSShare::_fixIncorrectData 	FL:DBFSShare.cpp(100)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"1]       CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"1]       CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"2]       CDBFSShare::_fixIncorrectData 	FL:DBFSShare.cpp(100)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"19]      CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"26]      CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"26]      CDBFSShare::_initDBEnv 	FL:DBFSShare.cpp(19)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"26]      CDBFS::init 	FL:DBFS.cpp(21)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::lock 	FL:DBFS.cpp(45)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::lock 	FL:DBFS.cpp(45)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::beginTransaction 	FL:DBFS.cpp(554)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::beginTransaction 	FL:DBFS.cpp(554)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::lock 	FL:DBFS.cpp(45)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::lock 	FL:DBFS.cpp(45)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::beginTransaction 	FL:DBFS.cpp(554)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::beginTransaction 	FL:DBFS.cpp(554)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"8]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
