2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"3]       CLibXLiveImpl::setAppSettingPath 	FL:LibXLiveImpl.cpp(212)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(669)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(669)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CLibXLiveImpl::setExcludeFolderPath 	FL:LibXLiveImpl.cpp(273)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CSyncManager::delFolderItemsByPath 	FL:SyncManager.cpp(201)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"1]       CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"8]       CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"11]      CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"12]      CDBFS::init 	FL:DBFS.cpp(21)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFSShare::_initDBEnv 	FL:DBFSShare.cpp(19)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFSShare::_createTables 	FL:DBFSShare.cpp(54)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFSShare::_createTables 	FL:DBFSShare.cpp(54)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFSShare::_fixIncorrectData 	FL:DBFSShare.cpp(100)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFSShare::_fixIncorrectData 	FL:DBFSShare.cpp(100)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"10]      CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"12]      CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"12]      CDBFSShare::_initDBEnv 	FL:DBFSShare.cpp(19)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"12]      CDBFS::init 	FL:DBFS.cpp(21)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::lock 	FL:DBFS.cpp(45)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::lock 	FL:DBFS.cpp(45)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::beginTransaction 	FL:DBFS.cpp(554)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::beginTransaction 	FL:DBFS.cpp(554)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::lock 	FL:DBFS.cpp(45)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::lock 	FL:DBFS.cpp(45)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::beginTransaction 	FL:DBFS.cpp(554)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::beginTransaction 	FL:DBFS.cpp(554)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"1]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::deleteFolderItemsInLastSnapshot 	FL:DBFS.cpp(424)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::endTransaction 	FL:DBFS.cpp(573)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::endTransaction 	FL:DBFS.cpp(573)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::unlock 	FL:DBFS.cpp(51)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::unlock 	FL:DBFS.cpp(51)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::endTransaction 	FL:DBFS.cpp(573)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::endTransaction 	FL:DBFS.cpp(573)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::unlock 	FL:DBFS.cpp(51)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::unlock 	FL:DBFS.cpp(51)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::uninit 	FL:DBFS.cpp(32)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_uninitDBEnv 	FL:DBFS.cpp(779)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_uninitDBEnv 	FL:DBFS.cpp(779)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::uninit 	FL:DBFS.cpp(32)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::uninit 	FL:DBFS.cpp(32)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFSShare::_uninitDBEnv 	FL:DBFSShare.cpp(26)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[IN]              CDBFS::_uninitDBEnv 	FL:DBFS.cpp(779)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::_uninitDBEnv 	FL:DBFS.cpp(779)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFSShare::_uninitDBEnv 	FL:DBFSShare.cpp(26)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"0]       CDBFS::uninit 	FL:DBFS.cpp(32)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"25]      CSyncManager::delFolderItemsByPath 	FL:SyncManager.cpp(201)
2016/04/21 15:49:10	T	xlive 	3820:4304 	[OUT 0'0"25]      CLibXLiveImpl::setExcludeFolderPath 	FL:LibXLiveImpl.cpp(273)
